Configuración,Componente,Varianza Individual,Varianza Acumulada
PCA95,PC1,0.1958,0.1958
PCA95,PC2,0.0806,0.2764
PCA95,PC3,0.0654,0.3418
PCA95,PC4,0.0556,0.3973
PCA95,PC5,0.0486,0.4460
PCA95,PC6,0.0477,0.4937
PCA95,PC7,0.0462,0.5399
PCA95,PC8,0.0410,0.5810
PCA95,PC9,0.0350,0.6160
PCA95,PC10,0.0304,0.6464
PCA90,PC1,0.1958,0.1958
PCA90,PC2,0.0806,0.2764
PCA90,PC3,0.0654,0.3418
PCA90,PC4,0.0556,0.3973
PCA90,PC5,0.0486,0.4460
PCA90,PC6,0.0477,0.4937
PCA90,PC7,0.0462,0.5399
PCA90,PC8,0.0410,0.5810
PCA90,PC9,0.0350,0.6160
PCA90,PC10,0.0304,0.6464
PCA85,PC1,0.1958,0.1958
PCA85,PC2,0.0806,0.2764
PCA85,PC3,0.0654,0.3418
PCA85,PC4,0.0556,0.3973
PCA85,PC5,0.0486,0.4460
PCA85,PC6,0.0477,0.4937
PCA85,PC7,0.0462,0.5399
PCA85,PC8,0.0410,0.5810
PCA85,PC9,0.0350,0.6160
PCA85,PC10,0.0304,0.6464
PCA80,PC1,0.1958,0.1958
PCA80,PC2,0.0806,0.2764
PCA80,PC3,0.0654,0.3418
PCA80,PC4,0.0556,0.3973
PCA80,PC5,0.0486,0.4460
PCA80,PC6,0.0477,0.4937
PCA80,PC7,0.0462,0.5399
PCA80,PC8,0.0410,0.5810
PCA80,PC9,0.0350,0.6160
PCA80,PC10,0.0304,0.6464
PCA50,PC1,0.1958,0.1958
PCA50,PC2,0.0806,0.2764
PCA50,PC3,0.0654,0.3418
PCA50,PC4,0.0556,0.3973
PCA50,PC5,0.0486,0.4460
PCA50,PC6,0.0477,0.4937
PCA50,PC7,0.0462,0.5399
PCA50,PC8,0.0410,0.5810
PCA50,PC9,0.0350,0.6160
PCA50,PC10,0.0304,0.6464
PCA30,PC1,0.1958,0.1958
PCA30,PC2,0.0806,0.2764
PCA30,PC3,0.0654,0.3418
PCA30,PC4,0.0556,0.3973
PCA30,PC5,0.0486,0.4460
PCA30,PC6,0.0477,0.4937
PCA30,PC7,0.0462,0.5399
PCA30,PC8,0.0410,0.5810
PCA30,PC9,0.0350,0.6160
PCA30,PC10,0.0304,0.6464
PCA20,PC1,0.1958,0.1958
PCA20,PC2,0.0806,0.2764
PCA20,PC3,0.0654,0.3418
PCA20,PC4,0.0556,0.3973
PCA20,PC5,0.0486,0.4460
PCA20,PC6,0.0477,0.4937
PCA20,PC7,0.0462,0.5399
PCA20,PC8,0.0410,0.5810
PCA20,PC9,0.0350,0.6160
PCA20,PC10,0.0304,0.6464
PCA10,PC1,0.1958,0.1958
PCA10,PC2,0.0806,0.2764
PCA10,PC3,0.0654,0.3418
PCA10,PC4,0.0556,0.3973
PCA10,PC5,0.0486,0.4460
PCA10,PC6,0.0477,0.4937
PCA10,PC7,0.0462,0.5399
PCA10,PC8,0.0410,0.5810
PCA10,PC9,0.0350,0.6160
PCA10,PC10,0.0304,0.6464
PCA5,PC1,0.1958,0.1958
PCA5,PC2,0.0806,0.2764
PCA5,PC3,0.0654,0.3418
PCA5,PC4,0.0556,0.3973
PCA5,PC5,0.0486,0.4460
PCA3,PC1,0.1958,0.1958
PCA3,PC2,0.0806,0.2764
PCA3,PC3,0.0654,0.3418
PCA2,PC1,0.1958,0.1958
PCA2,PC2,0.0806,0.2764
